卡池ID,卡池类型,开始时间,结束时间,PickUp卡名,图片路径
30002,角色卡池,2017-07-01 01:00:00,2023-09-05 11:59:59,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30002.png
20002,支援卡,2021-01-01 15:00:00,2050-01-01 15:00:00,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20002.png
20004,支援卡,2021-01-01 15:00:00,2050-01-01 15:00:00,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20004.png
30003,支援卡,2021-01-01 15:00:00,2023-09-05 11:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30003.png
50002,支援卡,2021-01-01 15:00:00,2050-01-01 15:00:00,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_50002.png
20001,角色卡池,2021-01-01 15:00:00,2050-01-01 15:00:00,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20001.png
20003,角色卡池,2021-01-01 15:00:00,2050-01-01 15:00:00,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_20003.png
50001,角色卡池,2021-01-01 15:00:00,2050-01-01 15:00:00,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_50001.png
10002,支援卡,2021-03-02 12:00:00,2050-01-01 11:59:59,[献上全国第一的演出]特别周、[在耀眼景色的前方]无声铃鹿、[有梦想就要大声说出来！]东海帝王、[不沉舰的进击]黄金船、[伏特加之路]伏特加、[万紫千红中一枝独秀]草上飞、[热情的冠军！]神鹰、[期待已久的计谋]青云天空、[划破天空的闪电少女！]玉藻十字、[全身心的感谢]美妙姿势、[飞奔吧，闪耀吧]艾尼风神、[B·N·Winner！]胜利奖券、[冲向前方7厘米之外]空中神宫、[Run（my）way]黄金城、[好快！好吃！好快！]樱花进王、[一颗安心糖]超级溪流、[这就是我的优俊偶像之道☆]醒目飞鹰、[哪怕还不能独当一面]西野花、[必杀技！双胡萝卜拳！]微光飞驹、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_10002.png
10001,角色卡池,2021-03-02 12:00:00,2050-01-01 11:59:59,[特别追梦者]特别周、[无声无瑕]无声铃鹿、[喜乐无边]东海帝王、[绯红方程式]丸善斯基、[星光跃动]小栗帽、[狂野前线]大树快车、[优雅曲线]目白麦昆、[皇帝]鲁道夫象征、[玫瑰之梦]米浴,D:\Apps\umas\export\Texture2D\img_bnr_gacha_10001.png
30005,支援卡,2023-09-05 12:00:00,2023-09-12 11:59:59,[特雷森学园]东商变革、[见习魔女与漫漫长夜]东商变革、[“要受人喜爱啊”]小栗帽,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30005.png
30004,角色卡池,2023-09-05 12:00:00,2023-09-12 11:59:59,[O sole suo！]好歌剧,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30004.png
30007,支援卡,2023-09-12 12:00:00,2023-09-21 11:59:59,[特雷森学园]双涡轮、[特雷森学园]大拓太阳神、[派对人派对夜！]大拓太阳神、[涡轮引擎马力全开！]双涡轮,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30007.png
30006,角色卡池,2023-09-12 12:00:00,2023-09-21 11:59:59,[MB-19890425]美浦波旁,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30006.png
30009,支援卡,2023-09-21 12:00:00,2023-10-03 11:59:59,[特雷森学园]生野狄杜斯、[特雷森学园]目白善信、[热身运动决不可懈怠]生野狄杜斯、[尽管笑我傻吧]目白善信,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30009.png
30008,角色卡池,2023-09-21 12:00:00,2023-10-03 11:59:59,[pf.胜利公式]琵琶晨光,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30008.png
30011,支援卡,2023-10-03 12:00:00,2023-10-19 11:59:59,[特雷森学园]北部玄驹、[特雷森学园]里见光钻、[特雷森学园]待兼唐怀瑟、[身后迫近的热浪是动力]北部玄驹、[超越那前方的背影]里见光钻,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30011.png
30010,角色卡池,2023-10-03 12:00:00,2023-10-19 11:59:59,[飞跃地平线]东海帝王、[天际尽头]目白麦昆,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30010.png
30013,支援卡,2023-10-19 12:00:00,2023-10-30 11:59:59,[这是送给你的]西野花、[由故乡直达的助威！]雪之美人,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30013.png
30012,角色卡池,2023-10-19 12:00:00,2023-10-30 11:59:59,[闪电少女]真机伶,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30012.png
30015,支援卡,2023-10-30 12:00:00,2023-11-09 11:59:59,[特雷森学园]八重无敌、[特雷森学园]荒漠英雄、[推荐你读这本书！]荒漠英雄、[心中的烈火无法抑制]八重无敌,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30015.png
30014,角色卡池,2023-10-30 12:00:00,2023-11-09 11:59:59,[Nevertheless]成田大进,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30014.png
30017,支援卡,2023-11-09 12:00:00,2023-11-20 11:59:59,[一颗安心糖]超级溪流、[欢迎来到特雷森学园！]骏川手纲,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30017.png
30016,角色卡池,2023-11-09 12:00:00,2023-11-20 11:59:59,[绝对☆LOVE]醒目飞鹰,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30016.png
30019,支援卡,2023-11-20 12:00:00,2023-12-01 11:59:59,[特雷森学园]采珠、[特雷森学园]樱花千代王、[世界的珍珠，其名为]采珠、[樱花盛开之时]樱花千代王,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30019.png
30018,角色卡池,2023-11-20 12:00:00,2023-12-01 11:59:59,[Maverick]成田白仁,D:\Apps\umas\export\Texture2D\img_bnr_gacha_30018.png
