Transfer Event ID,Item ID,Item Name,Item Category,Count,Total Num,Start Date,End Date
1,110,协助积分,30,12,7200,2024-01-21 04:00:00,2024-01-23 03:59:59
1,59,金币,91,12,38000,2024-01-21 04:00:00,2024-01-23 03:59:59
2,110,协助积分,30,6,3600,2024-02-16 04:00:00,2024-02-18 03:59:59
2,59,金币,91,6,19000,2024-02-16 04:00:00,2024-02-18 03:59:59
3,110,协助积分,30,6,3600,2025-05-29 04:00:00,2025-05-31 03:59:59
3,59,金币,91,6,19000,2025-05-29 04:00:00,2025-05-31 03:59:59
4,110,协助积分,30,6,3600,2025-06-15 04:00:00,2025-06-17 03:59:59
4,59,金币,91,6,19000,2025-06-15 04:00:00,2025-06-17 03:59:59
5,110,协助积分,30,6,3600,2025-07-04 04:00:00,2025-07-06 03:59:59
5,59,金币,91,6,19000,2025-07-04 04:00:00,2025-07-06 03:59:59
6,110,协助积分,30,6,3600,2025-07-23 04:00:00,2025-07-25 03:59:59
6,59,金币,91,6,19000,2025-07-23 04:00:00,2025-07-25 03:59:59
7,110,协助积分,30,6,3600,2025-08-11 04:00:00,2025-08-13 03:59:59
7,59,金币,91,6,19000,2025-08-11 04:00:00,2025-08-13 03:59:59
8,110,协助积分,30,6,3600,2025-08-29 04:00:00,2025-08-31 03:59:59
8,59,金币,91,6,19000,2025-08-29 04:00:00,2025-08-31 03:59:59
9,110,协助积分,30,6,3600,2025-09-18 04:00:00,2025-09-20 03:59:59
9,59,金币,91,6,19000,2025-09-18 04:00:00,2025-09-20 03:59:59
10,110,协助积分,30,6,3600,2025-10-11 04:00:00,2025-10-13 03:59:59
10,59,金币,91,6,19000,2025-10-11 04:00:00,2025-10-13 03:59:59
11,110,协助积分,30,6,3600,2025-10-30 04:00:00,2025-11-01 03:59:59
11,59,金币,91,6,19000,2025-10-30 04:00:00,2025-11-01 03:59:59
12,110,协助积分,30,6,3600,2025-11-19 04:00:00,2025-11-21 03:59:59
12,59,金币,91,6,19000,2025-11-19 04:00:00,2025-11-21 03:59:59
13,163,稀有启发专业书,11,2,2,2025-12-21 04:00:00,2025-12-28 03:59:59
13,160,启发书,11,2,4,2025-12-21 04:00:00,2025-12-28 03:59:59
13,174,星之果实,20,9,9,2025-12-21 04:00:00,2025-12-28 03:59:59
13,110,协助积分,30,12,9000,2025-12-21 04:00:00,2025-12-28 03:59:59
13,59,金币,91,12,48000,2025-12-21 04:00:00,2025-12-28 03:59:59
13,162,稀有启发书,11,1,2,2025-12-14 04:00:00,2025-12-21 03:59:59
13,161,启发专业书,11,1,2,2025-12-14 04:00:00,2025-12-21 03:59:59
14,110,协助积分,30,9,5400,2026-01-05 04:00:00,2026-01-07 03:59:59
14,59,金币,91,9,28500,2026-01-05 04:00:00,2026-01-07 03:59:59
15,110,协助积分,30,6,3600,2026-01-18 04:00:00,2026-01-20 03:59:59
15,59,金币,91,6,19000,2026-01-18 04:00:00,2026-01-20 03:59:59
16,110,协助积分,30,6,3600,2026-02-07 04:00:00,2026-02-09 03:59:59
16,59,金币,91,6,19000,2026-02-07 04:00:00,2026-02-09 03:59:59
17,110,协助积分,30,6,3600,2026-02-26 04:00:00,2026-02-28 03:59:59
17,59,金币,91,6,19000,2026-02-26 04:00:00,2026-02-28 03:59:59
18,110,协助积分,30,6,3600,2026-03-21 04:00:00,2026-03-23 03:59:59
18,59,金币,91,6,19000,2026-03-21 04:00:00,2026-03-23 03:59:59
19,110,协助积分,30,6,3600,2026-04-10 04:00:00,2026-04-12 03:59:59
19,59,金币,91,6,19000,2026-04-10 04:00:00,2026-04-12 03:59:59
20,163,稀有启发专业书,11,2,2,2026-05-17 04:00:00,2026-05-22 03:59:59
20,160,启发书,11,2,4,2026-05-17 04:00:00,2026-05-22 03:59:59
20,174,星之果实,20,9,9,2026-05-17 04:00:00,2026-05-22 03:59:59
20,110,协助积分,30,12,9000,2026-05-17 04:00:00,2026-05-22 03:59:59
20,59,金币,91,12,48000,2026-05-17 04:00:00,2026-05-22 03:59:59
20,162,稀有启发书,11,1,2,2026-05-12 04:00:00,2026-05-17 03:59:59
20,161,启发专业书,11,1,2,2026-05-12 04:00:00,2026-05-17 03:59:59
21,110,协助积分,30,6,3600,2026-05-29 04:00:00,2026-05-31 03:59:59
21,59,金币,91,6,19000,2026-05-29 04:00:00,2026-05-31 03:59:59
22,110,协助积分,30,6,3600,2026-06-12 04:00:00,2026-06-14 03:59:59
22,59,金币,91,6,19000,2026-06-12 04:00:00,2026-06-14 03:59:59
23,110,协助积分,30,6,3600,2026-07-05 04:00:00,2026-07-07 03:59:59
23,59,金币,91,6,19000,2026-07-05 04:00:00,2026-07-07 03:59:59
24,110,协助积分,30,6,3600,2026-07-20 04:00:00,2026-07-22 03:59:59
24,59,金币,91,6,19000,2026-07-20 04:00:00,2026-07-22 03:59:59
25,110,协助积分,30,6,3600,2026-08-04 04:00:00,2026-08-06 03:59:59
25,59,金币,91,6,19000,2026-08-04 04:00:00,2026-08-06 03:59:59
